filial;op;recurso;operacao;integrado;produto;producao;retrabalho;segundos;situacao;situDesc;criacao;aponta
108;03943601001;PAL03;30;0;PAN01063;2548.7280;0;21073;10;Produção;27/03/2023;09/08/2023
108;03943601001;IND03;10;0;PAN01063;76.5360;0;19392;10;Produção;27/03/2023;11/09/2023
108;03943601001;PAL03;30;0;PAN01063;1238.3280;0;12485;10;Produção;27/03/2023;10/08/2023
108;03943601001;PAL03;30;0;PAN01063;2519.2440;0;25604;10;Produção;27/03/2023;20/09/2023
108;03943601001;PAL03;30;0;PAN01063;196621.1520;0;21114;10;Produção;27/03/2023;30/07/2023
108;03943601001;PAL03;30;0;PAN01063;1722.0840;0;23745;10;Produção;27/03/2023;16/08/2023
108;03943601001;PAL03;30;0;PAN01063;1575.7560;0;15275;10;Produção;27/03/2023;17/08/2023
108;03943601001;PAL03;30;0;PAN01063;150.0000;0;23454;10;Produção;27/03/2023;27/03/2023
108;03943601001;IND06;20;0;PAN01063;0.2640;0;8;10;Produção;27/03/2023;21/08/2023
108;03943601001;IND06;20;0;PAN01063;20.8200;0;13392;10;Produção;27/03/2023;17/04/2023
108;03943601001;PAL03;30;0;PAN01063;2365.2720;0;17870;10;Produção;27/03/2023;23/09/2023
108;03943601001;IND03;10;0;PAN01063;81.2640;0;20944;10;Produção;27/03/2023;27/09/2023
108;03943601001;IND06;20;0;PAN01063;19.1040;0;14061;10;Produção;27/03/2023;15/04/2023
108;03943601001;IND06;20;0;PAN01063;28.1280;0;20305;10;Produção;27/03/2023;08/04/2023
108;03943601001;IND03;10;0;PAN01063;58.6680;0;16204;10;Produção;27/03/2023;08/09/2023
108;03943601001;IND06;20;0;PAN01063;18.3000;0;14778;10;Produção;27/03/2023;08/04/2023
108;03943601001;PAL03;30;0;PAN01063;69.8880;0;9725;10;Produção;27/03/2023;20/04/2023
108;03943601001;PAL03;30;0;PAN01063;9.8280;0;93;10;Produção;27/03/2023;17/04/2023
108;03943601001;PAL03;30;0;PAN01063;1480.7520;0;15821;10;Produção;27/03/2023;21/09/2023
108;03943601001;IND03;10;0;PAN01063;70.5840;0;20935;10;Produção;27/03/2023;10/08/2023
108;03943601001;IND06;20;0;PAN01063;18.5040;0;11913;10;Produção;27/03/2023;09/04/2023
108;03943601001;IND06;20;0;PAN01063;1.0560;0;39;10;Produção;27/03/2023;16/08/2023
108;03943601001;IND03;10;0;PAN01063;47.1720;0;12449;10;Produção;27/03/2023;09/08/2023
108;03943601001;IND06;20;0;PAN01063;0.2040;0;23;10;Produção;27/03/2023;22/08/2023
108;03943601001;PAL03;30;0;PAN01063;1866.2280;0;19866;10;Produção;27/03/2023;29/08/2023
108;03943601001;PAL03;30;0;PAN01063;2263.7160;0;19855;10;Produção;27/03/2023;20/08/2023
108;03943601001;PAL03;30;0;PAN01063;22.9320;0;6689;10;Produção;27/03/2023;16/04/2023
108;03943601001;PAL03;30;0;PAN01063;1945.9440;0;18899;10;Produção;27/03/2023;01/08/2023
108;03943601001;PAL03;30;0;PAN01063;2771.4960;0;24541;10;Produção;27/03/2023;11/08/2023
108;03943601001;IND03;10;0;PAN01063;72.0960;0;21133;10;Produção;27/03/2023;01/09/2023
108;03943601001;PAL03;30;0;PAN01063;2959.3200;0;22737;10;Produção;27/03/2023;15/09/2023
108;03943601001;IND03;10;0;PAN01063;93.8640;0;24756;10;Produção;27/03/2023;13/08/2023
108;03943601001;IND03;10;0;PAN01063;22.0080;0;9259;10;Produção;27/03/2023;14/04/2023
108;03943601001;IND06;20;0;PAN01063;30.5280;0;18774;10;Produção;27/03/2023;12/04/2023
108;03943601001;IND03;10;0;PAN01063;78.1080;0;17776;10;Produção;27/03/2023;14/08/2023
108;03943601001;PAL03;30;0;PAN01063;445.5360;0;5639;10;Produção;27/03/2023;30/08/2023
108;03943601001;PAL03;30;0;PAN01063;2472.2880;0;22090;10;Produção;27/03/2023;14/09/2023
108;03943601001;IND03;10;0;PAN01063;81.8400;0;21360;10;Produção;27/03/2023;21/09/2023
108;03943601001;PAL03;30;0;PAN01063;2376.1920;0;13982;10;Produção;27/03/2023;18/08/2023
108;03943601001;IND06;20;0;PAN01063;0.0480;0;0;10;Produção;27/03/2023;27/09/2023
108;03943601001;IND03;10;0;PAN01063;70.2840;0;18573;10;Produção;27/03/2023;08/08/2023
108;03943601001;IND03;10;0;PAN01063;84.2880;0;22586;10;Produção;27/03/2023;12/08/2023
108;03943601001;PAL03;30;0;PAN01063;1309.3080;0;12879;10;Produção;27/03/2023;01/08/2023
108;03943601001;PAL03;30;0;PAN01063;2363.0880;0;21629;10;Produção;27/03/2023;11/08/2023
108;03943601001;IND03;10;0;PAN01063;9.8400;0;26687;10;Produção;27/03/2023;20/04/2023
