IDWOHD;codProduto;chaveProduto;chaveDetOP;situacao;op;chaveWOHD;filial;IDWOtype;DtIssue;DtDue;Sequencia;Operacao;Status;DtLastStatusChange;IDUserLastStatusChange;WOProd;WOReWork;WOScrap
1;1;NUM-1;1-PRODUZ;2;NUM1;NUM-1;NUM;1;2019-10-28 00:00:00.000;2019-10-29 00:00:00.000;1;PRODUZ;40;2020-12-11 09:02:05.000;2;0.0000;0.0000;0.0000
3;1;num-1;3-PRODUZ;2;num3;num-3;num;1;2019-10-28 00:00:00.000;2019-10-29 00:00:00.000;1;PRODUZ;40;2020-12-12 03:00:04.000;2;0.0000;0.0000;0.0000
11;8484;206-8484;11-10;1;20600196801001;206-11;206;1;2021-01-12 00:00:00.000;2021-01-12 00:00:00.000;1;10;50;2021-01-12 10:57:51.000;6;4.0000;0.0000;0.0000
16;8657;206-8657;16-30;1;20600197401_TREI;206-16;206;1;2021-01-12 00:00:00.000;2021-01-12 00:00:00.000;1;30;40;2021-01-13 19:31:36.000;7;1.6000;0.0000;0.0000
17;8484;206-8484;17-10;1;2060019680TREINA;206-17;206;1;2021-01-12 00:00:00.000;2021-01-12 00:00:00.000;1;10;40;2021-01-13 23:54:32.000;6;10.0000;0.0000;0.0000
19;8484;206-8484;19-10;1;20600197601001;206-19;206;1;2021-01-13 00:00:00.000;2021-01-13 00:00:00.000;1;10;50;2021-01-13 21:19:30.000;6;0.3000;0.2000;0.3000
20;8484;206-8484;20-10;1;20600197701001;206-20;206;1;2021-01-13 00:00:00.000;2021-01-13 00:00:00.000;1;10;50;2021-01-13 22:17:22.000;6;5.5000;0.5000;0.0000
25;8484;TT_-8484;25-10;1;TT_CICLO;TT_-25;TT_;1;2021-01-11 00:00:00.000;2021-01-11 00:00:00.000;1;10;40;2021-02-05 15:41:10.000;1;4042.3483;0.0000;0.0000
29;8468;206-8468;29-10;1;20600247001001;206-29;206;1;2021-04-12 00:00:00.000;2021-04-12 00:00:00.000;1;10;50;2021-04-16 17:08:42.000;9;55.7172;0.0000;0.0000
31;9113;206-9113;31-10;1;20600247201001;206-31;206;1;2021-04-12 00:00:00.000;2021-04-12 00:00:00.000;1;10;50;2021-04-14 12:27:58.000;9;77.0000;72.0000;168.0000
33;9137;206-9137;33-10;1;20600247401001;206-33;206;1;2021-04-12 00:00:00.000;2021-04-12 00:00:00.000;1;10;50;2021-04-14 08:27:22.000;9;9.0000;0.0000;0.0000
34;8657;206-8657;34-10;1;20600247601001;206-34;206;1;2021-04-12 00:00:00.000;2021-04-12 00:00:00.000;1;10;50;2021-05-06 19:47:18.000;9;0.4800;0.0000;0.0000
38;8679;206-8679;38-10;1;20600248401001;206-38;206;1;2021-04-14 00:00:00.000;2021-04-14 00:00:00.000;1;10;50;2021-04-19 08:52:09.000;9;128.2000;44.0000;48.6000
39;12659;206-12659;39-10;1;20600248501001;206-39;206;1;2021-04-15 00:00:00.000;2021-04-15 00:00:00.000;1;10;50;2021-04-23 09:24:38.000;9;84.0000;0.0000;0.0000
40;9205;206-9205;40-10;1;20600248601001;206-40;206;1;2021-04-15 00:00:00.000;2021-04-15 00:00:00.000;1;10;50;2021-04-21 10:36:33.000;9;91.0000;0.0000;0.0000
41;9119;206-9119;41-10;1;20600248701001;206-41;206;1;2021-04-16 00:00:00.000;2021-04-16 00:00:00.000;1;10;50;2021-04-20 04:39:59.000;9;3.0000;0.0000;0.0000
42;10945;206-10945;42-10;1;20600248901001;206-42;206;1;2021-04-17 00:00:00.000;2021-04-17 00:00:00.000;1;10;50;2021-04-21 15:23:59.000;9;8.4000;0.0000;0.0000
43;8724;206-8724;43-10;1;20600249001001;206-43;206;1;2021-04-17 00:00:00.000;2021-04-17 00:00:00.000;1;10;50;2021-04-20 11:27:05.000;9;144.0000;41.0000;6.0000
45;9133;206-9133;45-10;1;20600249401001;206-45;206;1;2021-04-20 00:00:00.000;2021-04-20 00:00:00.000;1;10;50;2021-04-21 05:09:10.000;9;27.0000;0.0000;0.0000
46;8712;206-8712;46-10;1;20600249301001;206-46;206;1;2021-04-20 00:00:00.000;2021-04-20 00:00:00.000;1;10;50;2021-04-22 04:51:00.000;9;141.0000;57.0000;0.0000
47;10244;206-10244;47-10;1;20600249501001;206-47;206;1;2021-04-21 00:00:00.000;2021-04-21 00:00:00.000;1;10;50;2021-04-24 06:17:04.000;9;116.0000;0.0000;0.0000
48;13368;206-13368;48-10;1;20600249601001;206-48;206;1;2021-04-21 00:00:00.000;2021-04-21 00:00:00.000;1;10;50;2021-04-27 05:58:35.000;9;484.9600;95.0000;0.0000
49;8484;206-8484;49-10;1;20600249701001;206-49;206;1;2021-04-22 00:00:00.000;2021-04-22 00:00:00.000;1;10;50;2021-04-27 06:27:36.000;9;99.9600;0.0000;0.0000
50;8703;206-8703;50-10;1;20600249901001;206-50;206;1;2021-04-23 00:00:00.000;2021-04-23 00:00:00.000;1;10;50;2021-04-23 16:26:23.000;9;4.0000;0.0000;0.0000
51;8610;206-8610;51-10;1;20600250001001;206-51;206;1;2021-04-23 00:00:00.000;2021-04-23 00:00:00.000;1;10;50;2021-04-26 19:09:26.000;9;10.0000;0.0000;0.0000
52;13368;206-13368;52-10;1;20600250401001;206-52;206;1;2021-04-27 00:00:00.000;2021-04-27 00:00:00.000;1;10;50;2021-04-30 23:50:41.000;9;538.6000;92.0000;48.0000
54;13410;206-13410;54-10;1;20600250501001;206-54;206;1;2021-04-27 00:00:00.000;2021-04-27 00:00:00.000;1;10;50;2021-04-29 18:50:07.000;9;119.0000;0.0000;0.0000
