op;operacao;recurso;producao;qtde;(No column name)
00425601001;10;MOI04;0;53.0000;-53
00425701001;10;MOI05;0;53.0000;-53
00429201001;10;PVP;4,234;6.7650;-2,5309999999999997
00429401001;10;DOSE01;6269,9;11670.0000;-5400,1
00429501001;10;MOI01;0;41.3700;-41,37
00429501001;20;MOI02;0;41.0000;-41
00429501001;30;MOI03;0;41.0000;-41
00430401001;10;REEMB;10,9;11.0000;-0,09999999999999964
00430801001;10;MOI06;7,151;9.2510;-2,0999999999999996
00431001001;10;PV01;11,755;11.8550;-0,09999999999999964
00431401001;30;MOI03;73,9;74.0000;-0,09999999999999432
00431501001;10;MOI04;50,9;51.0000;-0,10000000000000142
00431601001;10;MOI05;56,9;57.0000;-0,10000000000000142
00431701001;10;BET02;33,9;34.0000;-0,10000000000000142
00431801001;10;REEMB;14,9;15.0000;-0,09999999999999964
00431901001;10;ONEPAC;3,4;5.0000;-1,6
00435601001;10;MOI04;95;65.0000;30
00435701001;10;MOI05;91;65.0000;26
00435901001;10;IND01;310,472;276.4680;34,00399999999996
00436101001;10;DOSE01;8406;6236.1000;2169,8999999999996
00436601001;10;ONEPAC;23;18.5000;4,5
00436701001;30;MOI03;48;36.0000;12
00437201001;10;BET02;540;439.0000;101
00437401001;10;MOI06;61;43.0000;18
00437501001;30;MOI03;32;15.0000;17
00442401001;10;BET03;325;302.0000;23
00443601001;10;MOI05;55;51.0000;4
